"","OTC","Branded","RX"
"1",0.114296811949427,0.0854811274087278,0.800222060641845
"2",0.140285802066282,0.0876885380238939,0.772025659909824
"3",0.151279985521834,0.0735540783303994,0.775165936147766
"4",0.132121006023485,0.124823162968095,0.74305583100842
"5",0.245980153179471,0.282007471451747,0.472012375368783
"6",0.237592207727703,0.227373356452694,0.535034435819603
"7",0.123098936266846,0.0846069867116176,0.792294077021536
"8",0.132654033970224,0.169034404852841,0.698311561176935
"9",0.119887342098334,0.0789898435079077,0.801122814393759
"10",0.120272310989187,0.125241521258042,0.75448616775277
"11",0.0837279779450349,0.0567724620177899,0.859499560037175
"12",0.116724395791489,0.0877652831566901,0.795510321051821
"13",0.151500923895224,0.149497989872296,0.69900108623248
"14",0.139916306029764,0.126645987366258,0.733437706603978
"15",0.1505222852696,0.132791495933384,0.716686218797016
"16",0.15454325017043,0.18353492391706,0.66192182591251
"17",0.14162859467097,0.163535071061937,0.694836334267093
"18",0.127109123021626,0.110234459314619,0.762656417663755
"19",0.0862432474492726,0.0907502673723463,0.823006485178381
"20",0.165024424549874,0.16058766577059,0.674387909679536
"21",0.11980190546067,0.122293459066311,0.757904635473019
"22",0.120901874008759,0.0842418907414634,0.794856235249778
"23",0.118264374507614,0.132788166927089,0.748947458565297
"24",0.123776010389572,0.152573496543458,0.72365049306697
"25",0.27762606664741,0.395705053686505,0.326668879666085
"26",0.143376616719359,0.111444180519762,0.745179202760878
"27",0.117552652282233,0.0827905310751541,0.799656816642613
"28",0.123052514091984,0.110812443348422,0.766135042559594
"29",0.132739115847541,0.126199770589367,0.741061113563091
"30",0.0820252998326112,0.0705217049619602,0.847452995205429
"31",0.122330336576892,0.120809651040588,0.75686001238252
"32",0.119815014116069,0.0766901965893519,0.803494789294579
"33",0.124338065860184,0.0722700664723819,0.803391867667434
"34",0.158720372676594,0.0852153178738113,0.756064309449595
"35",0.113572079403198,0.0885898782818143,0.797838042314988
"36",0.120530285037736,0.10294769123586,0.776522023726404
"37",0.0991046955738186,0.060658910275961,0.84023639415022
"38",0.103674474356284,0.0693390703518152,0.826986455291901
"39",0.112774791214669,0.0516410283283489,0.835584180456982
"40",0.160801175256081,0.086344474679975,0.752854350063944
"41",0.113116586900392,0.113179455399411,0.773703957700198
"42",0.110891217218411,0.102448585644677,0.786660197136912
